Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
Establecimientos de atención de la salud y Adaptación al Cambio Climático,2023,,Inés Asís,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/377/Establecimientos%20de%20atenci%C3%B3n%20de%20la%20salud%20y%20adaptaci%C3%B3n%20al%20cambio%20clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",,Estrategia Nacional de Salud y Cambio Climático,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática-salud
Abordaje de las enfermedades transmitidas por vectores en el contexto de cambio climático,2023,,Lara Della Cecca,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/379/Vectores%20y%20cambio%20clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Capacitaciones,Estrategia Nacional de Salud y Cambio Climático,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática-salud
Movilidad humana y cambio climático: Aproximación conceptual y abordaje en el contexto argentino  ,2023,,"Gómez, P; Cruells, L, Peralta, M, Falivene Fernández M. L",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/398/Movilidad%20Humana%20y%20Cambio%20Clim%C3%A1tico.pdf,,"Público general, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Solo en biblioteca general,Pérdidas y daños,Adaptación,Gestión climática - sobre pérdidas y daños
"Actualización de índices de
vulnerabilidad social frente a
desastres
Avance 2022",2022,,Claudia Natenzon ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/418/Actualizaci%C3%B3n%20de%20%C3%ADndices%20de%20vulnerabilidad%20social%20frente%20a%20desastres.%20Avance%202022..pdf,,"Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Solo en biblioteca general,Adaptación,Adaptación,Gestión climática -sobre adaptación
Resumen ejecutivo: La percepción de la sociedad argentina sobre el cambio climático,2022,Resumen ejecutivo,Carmelo Polino,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/399/La%20percepci%C3%B3n%20de%20la%20Sociedad%20Argentina%20sobre%20el%20cambio%20clim%C3%A1tico%20-%202022.pdf,,Público general,Ciudadanía,-,Adaptación,
Informe la percepción de la sociedad argentina sobre el cambio climático,2023,,Carmelo Polino,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/570/La%20percepci%C3%B3n%20de%20la%20sociedad%20argentina%20sobre%20cambio%20clim%C3%A1tico%202023.pdf,,Público general,Ciudadanía,-,Adaptación,
Lineamientos para la elaboración de planes de respuesta al cambio climático: Componente de adaptación,2021,,"Falivene Fernández, M. L.; Cundari, A.; Calvet, M.A.; Vázquez, M.",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/401/Lineamientos%20para%20la%20elaboraci%C3%B2n%20de%20planes%20de%20respuesta%20al%20cambio%20clim%C3%A1tico.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Lineamientos para incorporar el enfoque Adaptación basada en Ecosistemas en Planes de Respuesta al Cambio Climático.,2021,Publicación con marco conceptual de enfoque de adaptación basado en ecosistemas. Recomendaciones .,"Calvet, M.A.; Vázquez, M.",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/403/Lineamientos%20para%20la%20transversalizaci%C3%B3n%20de%20la%20adaptaci%C3%B3n%20basada%20en%20ecosistemas%20en%20los%20planes%20de%20respuesta.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Lineamientos para incorporar el enfoque Adaptación basada en Comunidades en Planes de Respuesta al Cambio Climático.,2021,Publicación con marco conceptual de enfoque de adaptación basado en comunidades. Recomendaciones .,"Cruells, L.; Falivene, Fernández, M. L; Cundari, A; Busconi, A",Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/400/Lineamientos%20para%20incorporar%20el%20enfoque%20de%20Adaptaci%C3%B3n%20basada%20en%20Comunidades%20en%20Planes%20de%20Respuesta%20al%20Cambio%20Clim%C3%A1tico.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales",Solo en biblioteca general,Planes de respuesta,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - Planes de respuesta
Cambio climático desde la visión de los Pueblos Indígenas,2023,,Daniela García; Adriana Menegaz; María Leticia Cruells; María del Valle Peralta,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/405/Cambio%20clim%C3%A1tico%20desde%20la%20visi%C3%B3n%20de%20los%20Pueblos%20Ind%C3%ADgenas.pdf,,"Pueblos indigenas, Docentes",Comunidad Educativa,Educación Intercultural Plurilingue,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
"El acceso al conocimiento
para ejercer el derecho
a participar y decidir",2023,,Daniela García; Adriana Menegaz; María Leticia Cruells; María del Valle Peralta,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/409/El%20acceso%20al%20conocimiento%20para%20ejercer%20el%20derecho%20a%20participar%20y%20decidir.pdf,,"Pueblos indigenas, Docentes",Comunidad Educativa,Educación Intercultural Plurilingue,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Instrumentos que garantizan la participación de los Pueblos Indígenas a nivel nacional e internacional,2023,,Daniela García; Adriana Menegaz; María Leticia Cruells; María del Valle Peralta,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/411/Instrumentos%20que%20garantizan%20la%20participaci%C3%B3n%20de%20los%20Pueblos%20Ind%C3%ADgenas%20.pdf,,"Pueblos indigenas, Docentes",Comunidad Educativa,Educación Intercultural Plurilingue,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe Anual Gabinte Nacional de Cambio Climático ,2022,Informe Anual del Gabinete Nacional de Cambio Climático – Año 2022,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/382/2022%20Informe%20Anual%20de%20Gesti%C3%B3n%20del%20GNCC.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2023,Informe Anual del Gabinete Nacional de Cambio Climático – Año 2023,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/385/2023%20Informe%20Anual%20de%20Gesti%C3%B3n%20GNCC.docx.pdf,,Público general,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2021,Informe Anual del Gabinete Nacional de Cambio Climático – Año 2021,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/386/Informe%20Anual%20GNCC%202021.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2020,Informe Anual del Gabinete Nacional de Cambio Climático – Año 2020,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/387/Informe%20Anual%20GNCC%202020.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2019,Informe de Actividades del Gabinete Nacional de Cambio Climático – Año 2016 al 2019,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/388/informe_de_actividades_2016-_2019_.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2018,Informe de Actividades del Gabinete Nacional de Cambio Climático – Año 2018,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/389/2018%20Informe%20de%20Actividades%20GNCC.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Gabinte Nacional de Cambio Climático ,2017,Informe de Actividades del Gabinete Nacional de Cambio Climático – Año 2017,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/390/2017%20Informe%20de%20Actividades%20GNCC.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Consejo Asesor Externo,2022,Informe de Actividades del Consejo Asesor Externo – Año 2022,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/392/2022%20Informe%20Anual%20CAE.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Informe Anual Consejo Asesor Externo,2023,Informe de Actividades del Consejo Asesor Externo – Año 2023,Gabinete Nacional de Cambio Climático ,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/393/2023%20Informe%20Anual%20CAE.pdf,,Público general,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
"
Estrategia de Géneros, Diversidad y Cambio Climático",2023,Bases para el abordaje del tema en la acción climática y se establece como instrumento rector para la transversalización de la perspectiva de género y diversidad de la política climática argentina. ,Antonela Busconi; María Luz; Falivene Fernández; María del Valle Peralta; Florencia Trentini,Documento,Link,,"https://ciam.ambiente.gob.ar/images/uploaded/recursos/420/Estrategia%20Nacional%20de%20G%C3%A9neros,%20Diversidad%20y%20Cambio%20Clim%C3%A1tico.pdf",,Público general,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La adaptación al cambio climático desde una perspectiva de género y diversidad,2023,Marco introductorio sobre la problemática del cambio climático desde una perspectiva de género y diversidad.,Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz Falivene; Nuria Zanzottera; Magalí Turkenich; Laura Jazmín Schencman; Mariano Gonzalez King,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/421/la%20adaptacion%20al%20cambio%20climatico%20desde%20una%20perspectiva%20de%20genero%20y%20diversidad.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector agro y bosques ,2023,"Guías  que presentan conceptos y herramientas para transversalizar la perspectiva de género y diversidad en la planificación de acciones climáticas sectoriales. Identifican las principales brechas de género en los distintos sectores e ilustran, a través de ejemplos y recomendaciones, de qué manera incorporar este enfoque en el diseño de medidas.  Las infografías arrojan los principales hallazgos por sector",Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/423/La%20perspectiva%20de%20g%C3%ABnero%20y%20diversidad%20en%20la%20pol%C3%ACtica%20clim%C3%A1tica%20argentina.%20Sector%20Agro%20y%20Bosques..pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector agro y bosques ,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/462/Infografia%20Agro%20y%20bosques.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector Energía.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/428/La%20perspectiva%20de%20g%C3%ABnero%20y%20diversidad%20en%20la%20pol%C3%ACtica%20clim%C3%A1tica%20argentina.%20Sector%20Energ%C3%ADa..pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector Energía,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/463/Infografia%20Energia.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector Industria.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/430/La%20perspectiva%20de%20g%C3%ABnero%20y%20diversidad%20en%20la%20pol%C3%ACtica%20clim%C3%A1tica%20argentina.%20Sector%20Industria..pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector Industria.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/464/Infografia%20Industria%20y%20g%C3%A9nero.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector Salud.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/431/La%20perspectiva%20de%20g%C3%ABnero%20y%20diversidad%20en%20la%20pol%C3%ACtica%20clim%C3%A1tica%20argentina.%20Sector%20Salud..pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector Salud.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/466/Infografia%20Salud.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector Transporte.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/432/La%20perspectiva%20de%20g%C3%ABnero%20y%20diversidad%20en%20la%20pol%C3%ACtica%20clim%C3%A1tica%20argentina.%20Sector%20Transporte..pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector Transporte,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/469/Infografia%20Transporte.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
La perspectiva de género y diversidad en la política climática argentina Sector Turismo.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/429/manual_genero_sector_turismo.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Infografía La perspectiva de género y diversidad en la política climática argentina Sector Turismo.,2023,,Agustina Bendersky; Antonela Busconi; Fabiana Menna; María del Valle Peralta; María Luz; Falivene Fernández; Nuria Zanzzottera,Infografía,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/471/Infografia%20Turismo.pdf,,Incluir sólo en la estructuctura correspondiente,Ciudadanía,Estrategia Nacional de Géneros y Diversidades,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Sectores en la accion climática- Género
Metodología para el desarrollo de procesos participativos con Pueblos Indígenas,2022,"El documento detalla la metodología para el desarrollo del proceso participativo con Pueblos Indígenas, siendo el documento soporte para facilitar los Diálogos Interculturales realizados durante el año 2022",,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/417/Metodolog%C3%ADa%20para%20el%20desarrollo%20de%20procesos%20participativos%20con%20Pueblos%20Ind%C3%ADgenas.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe final Proceso participativo con Pueblos Indígenas,2022,El documento presenta los principales resultados de los DIálogos Interculturales llevados adelante en 2022 en el marco de la elaboración del PNAyMCC,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/408/Informe%20final%20Dialogos%20Interculturales%202022.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe final Proceso participativo con Pueblos Indígenas Región NOA,2022,El documento presenta los principales resultados de los DIálogos Interculturales llevados adelante en 2022 en la región NOA en el marco de la elaboración del PNAyMCC,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/410/_Informe%20de%20resultados%20de%20Di%C3%A1logo%20Intercultural%20-%20Regi%C3%B3n%20NOA%20(Julio%202022).pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe final Proceso participativo con Pueblos Indígenas Región NEA,2022,El documento presenta los principales resultados de los DIálogos Interculturales llevados adelante en 2022 en la región NEAen el marco de la elaboración del PNAyMCC,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/412/_Informe%20de%20resultados%20de%20Di%C3%A1logo%20Intercultural%20-%20Regi%C3%B3n%20NEA%20(Noviembre%202022)%20.pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe final Proceso participativo con Pueblos Indígenas Región Centro,2022,El documento presenta los principales resultados de los DIálogos Interculturales llevados adelante en 2022 en la región Centro en el marco de la elaboración del PNAyMCC,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/414/_Informe%20de%20resultados%20de%20Di%C3%A1logo%20Intercultural%20-%20Regi%C3%B3n%20Centro%20(Septiembre%202022).pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe final Proceso participativo con Pueblos Indígenas Región Sur,2022,El documento presenta los principales resultados de los DIálogos Interculturales llevados adelante en 2022 en la región Sur en el marco de la elaboración del PNAyMCC,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/415/_Informe%20de%20resultados%20de%20Di%C3%A1logo%20Intercultural%20-%20Regi%C3%B3n%20Sur%20(Octubre%202022).pdf,,"Gestores públicos nacionales, Gestores públicos provinciales, Gestores públicos locales, Pueblos indigenas",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
Informe de resultados 2021- Espacios de encuentro y capacitación,2021,Informe de resultados de los espacios de encuentro y capacitación  con sociedad civil durante el 2021 para la elaboración del Plan Nacional de Adaptación,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/407/Informe%20de%20resultados%202021-%20Espacios%20de%20encuentro%20y%20capacitaci%C3%B3n.pdf,,Incluir sólo en la estructuctura correspondiente,"Capacitaciones, Ciudadanía",,Adaptación,
Informe de resultados - 2022 Mesa regional,2022,Informe de resultados de los espacios de encuentro y capacitación con sociedad civil durante el 2022 para la elaboración del Plan Nacional de Adaptación,,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/404/Informe%20de%20resultados%20-%202022%20Mesa%20regional.pdf,,Incluir sólo en la estructuctura correspondiente,"Ciudadanía, Solo en biblioteca general",,Adaptación,
Informe final Talleres de co-diseño con Pueblos Indígenas,2023,"Principales resultados del taller de co-diseño con Pueblos Indigenas que tuvo como objetivo elaborar  los mensajes clave y contenidos de los materiales comunicacionales sobre cambio climático con una mirada desde y hacia la
interculturalidad contemplando el buen vivir, territorio y la cosmovisión de los pueblos y comunidades indígenas.",,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/402/Informe%20final%20Talleres%20de%20co-dise%C3%B1o%20con%20Pueblos%20Ind%C3%ADgenas.pdf,,Pueblos indigenas,Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
