"Adaptación, Mitigación o Pérdidas y daños",Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Autoridad de aplicación,,Comentarios,1.1.1,1.2.1,1.2.2,1.2.3,1.2.4,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.2.1,3.1.1,3.1.2,3.1.3,3.2.1,3.3.1,3.3.2,3.4.1,3.4.2,3.4.3,3.5.1,3.6.1,3.6.2,3.7.1,3.8.1,3.8.2,3.9.1,3.9.2,3.10.1,4.1.1,4.2.1,4.3.1,5.1.1
,,,,,,,,,6,18,8,15,7,11,12,7,6,3,9,11,42,4,3,13,13,29,21,10,10,49,17,4,17,14,12,21,9,16,32,15,7,24
Adaptación,CB-01,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Promover la conservación y el uso sostenible de la biodiversidad en agroecosistemas,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,
Adaptación,CB-02,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer iniciativas de aprovechamiento sostenible de productos forestales no madereros,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-03,Conservación de la biodiversidad y bienes comunes,Uso sostenible de la biodiversidad,Fortalecer el uso sostenible de camélidos nativos ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,Conservación de ecosistemas (es más que agro),,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-04,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Ampliar y fortalecer la Red de sitios Ramsar,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,5,Transversal: humedales,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,,x,,,,,,
Adaptación,CB-05,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Incorporar ecosistemas subrepresentados en áreas protegidas nacionales,Adaptación,"Administración de Parques Nacionales, gobiernos subnacionales, OSC y otros organismos nacionales",3,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,
Adaptación,CB-06,Conservación de la biodiversidad y bienes comunes,Aumento de la superficie destinada a la conservación,Promover la inclusión de glaciares en áreas protegidas,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,Transversal: Disponibilidad de agua,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,
Adaptación,CB-07,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Transversalizar la adaptación en planes de gestión de Parques Nacionales,Adaptación,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-08,Conservación de la biodiversidad y bienes comunes,Incremento de la conectividad a nivel de paisaje,Desarrollar alternativas de medios de vida para comunidades locales vulnerables en paisajes seleccionados,Adaptación,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,4,Empleo en general,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,x,,
Adaptación,CB-09,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer el Manejo Costero Integrado,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,
Adaptación y Mitigación,CB-10,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer prácticas de manejo adaptativo orientadas a la evaluación forrajera y manejo ganadero,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,La reducción de vulnerabilidades de la AFCI es dudosa,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación,CB-11,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fomentar el uso sostenible de humedales,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,8,"Transversal: humedales
Tienen en cuenta lineamientos para el uso sostenible en contexto de CC. Ver si darles 3.1.1.",,,,,,,,,,,,,x,,,,,x,x,,,x,x,,x,,x,x,,,,,,
Adaptación,CB-12,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Diagnosticar y monitorear pesquerías bajo escenarios de cambio climático en el corredor fluvial Paraná-Paraguay,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,"Generación de información
No tenemos metas que incluyan pescadores/as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-13,Conservación de la biodiversidad y bienes comunes,Manejo adaptativo de ecosistemas,Fortalecer la investigación aplicada para la conservación con perspectiva de cambio climático,Adaptación,"Administración de Parques Nacionales y Ministerio de Ciencia, Tecnología e Innovación",0,"Generación de información
Conservación de ecosistemas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-14,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Incorporar humedales y zonas costeras como infraestructura verde y azul como medidas de adaptación al cambio climático,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,8,"Transversal: humedales
Estarían transversalizando adaptación en obra pública. Ver si darles 3.1.1.",,,,,,,,,,,,,x,,,,,x,x,,,x,x,,x,,x,x,,,,,,
Adaptación y Mitigación,CB-15,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar información con perspectiva climática para la gestión ambiental de los humedales ,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,0,Investión/generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,CB-16,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Evitar la deforestación ilegal y reducir la deforestación legal,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,6,"Asociado a inundación, pero es más que eso",,,,,,,,,,,,,,,,,,x,x,,,x,x,,x,,,x,,,,,,
Adaptación y Mitigación,CB-17,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Promover la actualización del Ordenamiento Territorial de los Bosques Nativos,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,6,"Asociado a inundación, pero es más que eso",,,,,,,,,,,,,,,,,,x,x,,,x,x,,x,,,x,,,,,,
Adaptación,CB-18,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar cartografía de las zonas más vulnerables a la degradación de tierras y la desertificación debido a los factores climáticos en los futuros escenarios.,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-19,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Elaborar de un diagnóstico de impactos y riesgos producto del cambio climáticos sobre ambientes glaciares,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-20,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Generar criterios de identificación de suelos congelados con vistas a la elaboración de un plan para su relevamiento,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,0,Investión/generación de información,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-21,Conservación de la biodiversidad y bienes comunes,Ordenamiento Ambiental del Territorio,Impulsar el Plan Regional de Adaptación al Cambio Climático del Delta del Río Paraná,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,Las metas e indicadores son si se implementa o no el plan,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-22,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el Programa de Conservación Inclusiva ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,"Se consideró la prioritaria. Indirectamente, el Plan abordaría otras metas.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Adaptación,CB-23,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Controlar especies exóticas invasoras en territorios bajo administración de APN y otras áreas de influencia,Adaptación,Administración de Parques Nacionales,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Pérdidas y daños,CB-24,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Conservar y reducir la vulnerabilidad del sitio histórico la Calera del Palmar,Adaptación y Pérdidas y daños,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,CB-25,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el manejo del fuego en Parques Nacionales,Adaptación y Mitigación,Administración de Parques Nacionales,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
Adaptación,CB-26,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el control de especies exóticas invasoras ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,CB-27,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de manejo sostenible de tierras mediante agricultura de conservación,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,La reducción de vulnerabilidades de la AFCI es dudosa,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación y Mitigación,CB-28,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de manejo sostenible de tierras orientadas a controlar procesos de erosión eólica,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,"Los indicadores son si se implementa y extiende, o no, el programa ImpaCT.AR, que al momento de hacer la ficha no se había aprobado
La reducción de vulnerabilidades de la AFCI es dudosa, depende del programa",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación y Mitigación,CB-29,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas de manejo sostenible de tierras orientadas a controlar procesos de erosión hídrica,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,"Los indicadores son si se implementa y extiende, o no, el programa ImpaCT.AR, que al momento de hacer la ficha no se había aprobado
La reducción de vulnerabilidades de la AFCI es dudosa, depende del programa",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación,CB-30,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas para la cosecha de agua en áreas secas donde el déficit de humedad es el principal factor limitante,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Adaptación y Mitigación,CB-31,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas orientadas a disminuir la presión del pastoreo sobre tierras degradadas,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,"Los indicadores son si se implementa y extiende, o no, el programa ImpaCT.AR, que al momento de hacer la ficha no se había aprobado
La reducción de vulnerabilidades de la AFCI es dudosa, depende del programa",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación,CB-32,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer prácticas que prevengan el incremento de la degradación o promuevan la restauración de suelos degradados,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,La reducción de vulnerabilidades de la AFCI es dudosa,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación y Mitigación,CB-33,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Promover un abordaje multisectorial, interjurisdiccional e integral del manejo del fuego",Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,3,"La medida se centra en tener planes de manejo de fuego.
No tiene metas relacionadas al manejo del fuego en sí",,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x
Adaptación,CB-34,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer los equipos técnicos y de combate asociados al manejo del fuego,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,La medida es para mejorar capacidades de respuesta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
Adaptación,CB-35,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Fortalecer el manejo de combustible vegetal para la prevención de incendios,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,"Indicadores ""a definir"". La meta tiene que ver con hojas de ruta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
Adaptación y Mitigación,CB-36,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover técnicas de recuperación y restauración de bosques,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,0,No hay meta (e indica que no se puede establecer meta) ni indicadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,CB-37,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Construir infraestructura sostenible, fiable, y resiliente para mejorar la gestión de los ecosistemas en la APN ",Adaptación,Administración de Parques Nacionales y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Adaptación y Mitigación,CB-38,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,Promover prácticas de restauración de ecosistemas,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,7,,,,,,,,,,,,,,x,,,,,x,x,,,x,,,,x,,,,x,,,,x
Adaptación y Mitigación,CB-39,Conservación de la biodiversidad y bienes comunes,Restauración y conservación de ecosistemas,"Fortalecer la red de ""Faros de conservación"" para la detección temprana de incendios",Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
Adaptación y Mitigación,FI-01,Fortalecimiento institucional,Actualización y adecuación normativa,"Apoyar a las provincias y a CABA en el desarrollo y adecuación de sus normativas locales en cumplimiento con los objetivos de la Ley n.° 27520 y de los compromisos y metas nacionales

",Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-02,Fortalecimiento institucional,Actualización y adecuación normativa,Formular las leyes o actos administrativos necesarios para garantizar la implementación de la Ley n.o 27520,Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-03,Fortalecimiento institucional,Actualización y adecuación normativa,Desarrollo de directrices sobre cambio climático para la elaboración de Estudios de Impacto Ambiental (EsIA),Adaptación y Mitigación,Dirección Nacional de Evaluación Ambiental - Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-04,Fortalecimiento institucional,Actualización y adecuación normativa,Promover la Evaluación Ambiental Estratégica como herramienta para la acción climática,Adaptación y Mitigación,Dirección Nacional de Evaluación Ambiental - Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,FI-05,Fortalecimiento institucional,Actualización y adecuación normativa,Fortalecer las capacidades técnicas para incorporar el análisis de riesgos climáticos en los procesos de Evaluación Ambiental,Adaptación,Dirección Nacional de Evaluación Ambiental - Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-06,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Institucionalizar los Diálogos Interculturales con pueblos indígenas,Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,4,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-07,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Operacionalizar el sistema de monitoreo del PNAyMCC,"Adaptación, Mitigación y Pérdidas y daños",Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,4,,,,x,,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-08,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Fortalecer la Coordinación Técnica Administrativa del Gabinete Nacional de Cambio Climático (GNCC),"Adaptación, Mitigación y Pérdidas y daños",Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-09,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Apoyar a las provincias y a CABA en el desarrollo de sus espacios de gobernanza y participación para la formulación de planes de respuesta subnacionales,Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-10,Fortalecimiento institucional,"Gobernanza multinivel y multiactoral
",Promover instrumentos e instancias idóneas para la prevención y el abordaje de conflictos complejos,Adaptación y Mitigación,Ministerio de Justicia y Derechos Humanos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-11,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,"Fortalecer a los equipos técnicos provinciales, de CABA y municipales en temas de cambio climático",Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-12,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,Apoyar a las provincias y a CABA en el desarrollo de sus planes de respuesta,Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-13,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,"Promover la formación integral en ambiente, con perspectiva de desarrollo sostenible y con especial énfasis en cambio climático, para las personas que se desempeñan en la función pública",Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,3,,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,FI-14,Fortalecimiento institucional,Fortalecimiento de capacidades técnicas y de gestión,Fortalecer el marco institucional y las capacidades de las distintas áreas del gobierno nacional en cuanto a la transferencia de información meteorológica para contar con Servicios Climáticos de calidad,Adaptación,Servicio Meteorológico Nacional,2,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FI-15,Fortalecimiento institucional,Procesos de planificación prospectiva ,Formular de manera participativa una Estrategia de desarrollo resiliente con bajas emisiones a Largo Plazo,Adaptación y Mitigación,Dirección Nacional de Cambio Climático - Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-01,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Incorporar el etiquetado de la acción climática en el presupuesto nacional.,Adaptación y Mitigación,Ministerio de Economía,4,,,,X,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-02,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Desarrollar una taxonomía de Finanzas Sostenibles,Adaptación y Mitigación,Ministerio de Economía,2,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-03,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,Analizar una readecuación del impuesto al carbono vigente en el país u otros mecanismos e instrumentos de precio al carbono,Adaptación y Mitigación,Ministerio de Economía,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Adaptación y Pérdidas y daños,FT-04,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Realizar un diagnóstico sobre los principales riesgos físicos y de transición a nivel nacional, regional y sectorial, así como su grado de exposición al cambio climático",Adaptación y Pérdidas y daños,Ministerio de Economía,2,,,,,,,x,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Adaptación,FT-05,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Promover que el sector privado no financiero, se aproximen a estándares de divulgación y reportes sobre impacto climático",Adaptación,Ministerio de Economía,2,,X,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,FT-06,Financiamiento para la transición,Transversalización de criterios del cambio climático en la toma de decisiones para la gestión de recursos,"Desarrollar programas de educación financiera sobre criterios ambientales, sociales y de gobernanza, incluido el cambio climático",Adaptación,Ministerio de Economía,2,,,,,X,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-07,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Institucionalizar un espacio de articulación público privada e implementar un plan de trabajo sobre acción climática con el sector privado,Adaptación y Mitigación,Dirección Nacional de Cambio Climático- Ministerio de Ambiente y Desarrollo Sostenible,4,,,,,X,X,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-08,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Formular e implementar una Estrategia Nacional de Finanzas Sostenibles,Adaptación y Mitigación,Ministerio de Economía,1,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-09,Financiamiento para la transición,Movilización y gestión de recursos para la acción climática,Formular e implementar una Estrategia Nacional de Financiamiento Climático Internacional,Adaptación y Mitigación,Ministerio de Economía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-10,Financiamiento para la transición,Mecanismos innovadores,"Evaluación de la oportunidad, mérito y conveniencia de incursionar en transacciones asociadas al comercio de emisiones, sean estos en el marco de la implementación del artículo 6 del Acuerdo de París o en otros esquemas de mercado.",Adaptación y Mitigación,Dirección Nacional de Cambio Climático- Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,FT-11,Financiamiento para la transición,Mecanismos innovadores,"Desarrollo de un Marco de Bonos Soberanos Sostenibles que defina los principios generales y específicos para emisiones de bonos temáticos verdes, sociales y/o sostenibles ",Adaptación y Mitigación,Ministerio de Economía,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Adaptación,GR-01,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Fortalecer un abordaje articulado de los riesgos transfronterizos de origen climático para diversos sectores y regiones del país,Adaptación,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Pérdidas y daños,GR-02,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,"Establecer una metodología para desarrollar una línea de base de pérdidas y daños, en articulación con las áreas de gobierno competentes",Pérdidas y daños,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pérdidas y daños,GR-03,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Desarrollar una visión y narrativa nacional sobre las pérdidas y daños asociadas al cambio climático,Pérdidas y daños,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,GR-04,Gestión integral del Riesgo,Análisis de impactos y riesgos climáticos en los diferentes ambientes geográficos del territorio nacional,Fortalecer el diagnóstico de impactos y riesgos sobre los distintos ecosistemas del país,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,GR-05,Gestión integral del Riesgo,Fortalecimiento de los actores intervinientes en el SINAGIR,Promover la incorporación del enfoque de cambio climático en los Planes de Gestión Integral del Riesgo a nivel local,Adaptación,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,3,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Adaptación,GR-06,Gestión integral del Riesgo,Fortalecimiento de los actores intervinientes en el SINAGIR,"Promover el uso de sistemas de información geográfica (SIG) en los equipos técnicos de provincias, CABA y municipios",Adaptación,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación,GR-07,Gestión integral del Riesgo,Transversalización de la gestión integral del riesgo en la política climática nacional,Construir una visión consensuada respecto a la GIR y adaptación en la República Argentina e incorporar en el PNRRD (2018-2023),Adaptación,Ministerio de Seguridad y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
