"Adaptación, Mitigación o Pérdidas y daños",Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Autoridad de aplicación,,Comentarios,1.1.1,1.2.1,1.2.2,1.2.3,1.2.4,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.2.1,3.1.1,3.1.2,3.1.3,3.2.1,3.3.1,3.3.2,3.4.1,3.4.2,3.4.3,3.5.1,3.6.1,3.6.2,3.7.1,3.8.1,3.8.2,3.9.1,3.9.2,3.10.1,4.1.1,4.2.1,4.3.1,5.1.1
Adaptación y Mitigación,TE-07,Transición energética,Eficiencia energética,Mejorar la eficiencia energética en establecimientos industriales y comerciales,Adaptación y Mitigación,Secretaría de Energía y Secretaría de Industria y Desarrollo Productivo,0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-08,Transición energética,Eficiencia energética,Sensibilizar y concientizar a las comunidades sobre el uso racional de la energía,Adaptación y Mitigación,Secretaría de Energía,0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-09,Transición energética,Eficiencia energética,Aumentar la eficiencia en la generación de electricidad en centrales termoeléctricas mediante cogeneración,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-10,Transición energética,Eficiencia energética,Implementar proyectos de reconversión LED en alumbrado público,Adaptación y Mitigación,"Secretaría de Energía, Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas",0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-11,Transición energética,Eficiencia energética,Incorporar bombas de calor para calefacción en inmuebles,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-12,Transición energética,Eficiencia energética,"Diseño e implementación de instrumentos tendientes a la promoción y adopción de tecnologías para mejorar la eficiencia y reducir las emisiones de metano en operaciones de exploración, producción y/o procesamiento de hidrocarburos (upstream)",Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-13,Transición energética,Energía limpia en emisiones de GEI,Incorporar fuentes de energía renovable en industrias y comercios,Adaptación y Mitigación,Secretaría de Energía y Secretaría de Industria y Desarrollo Productivo,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Mitigación,TE-14,Transición energética,Energía limpia en emisiones de GEI,Promover la instalación de colectores solares en viviendas,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-15,Transición energética,Energía limpia en emisiones de GEI,Implementar proyectos de generación eléctrica a partir de fuentes renovables no convencionales conectadas a la red,Adaptación y Mitigación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Mitigación,TE-16,Transición energética,Energía limpia en emisiones de GEI,Potenciar la generación nuclear,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-17,Transición energética,Energía limpia en emisiones de GEI,Potenciar la generación hidroeléctrica considerando los escenarios futuros de cambio climático en las variables de diseño,Adaptación y Mitigación,Secretaría de Energía y Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-18,Transición energética,Energía limpia en emisiones de GEI,Promover la generación eléctrica distribuida de energía renovable integrada a la red eléctrica pública ,Adaptación y Mitigación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Mitigación,TE-19,Transición energética,Energía limpia en emisiones de GEI,Promover el corte con biocombustibles,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-20,Transición energética,Energía limpia en emisiones de GEI,Brindar acceso a energía a comunidades rurales aisladas a partir de fuentes renovables,Adaptación y Mitigación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Mitigación,TE-21,Transición energética,Energía limpia en emisiones de GEI,Aprovechar de manera sostenible la biomasa residual del sector agropecuario y agroindustrial,Mitigación,Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-22,Transición energética,Energía limpia en emisiones de GEI,Promover la adopción de biogás para uso final en el sector de transporte,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-23,Transición energética,Energía limpia en emisiones de GEI,Reducir la contaminación de los combustibles líquidos utilizados en el territorio nacional,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-24,Transición energética,Energía limpia en emisiones de GEI,Desarrollar mercados eléctricos regionales de energía renovable a baja escala,Adaptación y Mitigación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Mitigación,TE-25,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Promover la adopción del hidrógeno con bajas emisiones de gases de efecto invernadero y el desarrollo de la cadena de valor,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-26,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Identificar redes de investigación e institutos como aporte para una Estrategia Nacional de H2,Mitigación,"Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-27,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Fortalecer la investigación y el desarrollo de la producción de hidrógeno bajo en carbono en el país,Mitigación,"Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-28,Transición energética,Gasificación,Promover el uso del combustibles gaseosos en reemplazo de combustibles fósiles con mayor factor de emisión de GEI,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TE-29,Transición energética,Resiliencia del sistema energético,Ampliar y mejorar el sistema de transmisión eléctrica considerando los escenarios futuros de cambio climático,Adaptación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Adaptación,TE-30,Transición energética,Resiliencia del sistema energético,Fortalecer las redes de distribución de energía eléctrica existentes para aumentar su resiliencia frente al cambio climático,Adaptación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Adaptación,TE-31,Transición energética,Resiliencia del sistema energético,"Aumentar el acceso seguro a energía en poblaciones rurales y urbanas, con foco en barrios populares",Adaptación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Mitigación,TE-32,Transición energética,Planificación y monitoreo del desarrollo energético,"Fortalecer la planificación energética limpia, justa y sostenible",Adaptación y Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-33,Transición energética,Planificación y monitoreo del desarrollo energético,"Fortalecer las capacidades de las autoridades de aplicación provincial en materia de identificación, monitoreo y control de emisiones operativas (quema y venteo) y fugitivas de gases de efecto invernadero y metano del upstream.",Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-34,Transición energética,Planificación y monitoreo del desarrollo energético,"Desarrollar planes de monitoreo, reporte, verificación y mitigación de emisiones de GEIs con objetivos de cumplimiento obligatorio por parte de las empresas",Mitigación,Secretaría de Energía,0,Es de miti (no A y M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TJ-01,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Fortalecimientos de los espacios de coordinación inter e intra-estatales,Adaptación y Mitigación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TJ-02,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Identificación de consecuencias y prioridades de acción frente a los efectos del cambio climático y de las medidas de mitigación y adaptación al mismo en el mercado de trabajo,Adaptación y Mitigación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-03,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Creación de mesas tripartitas de diálogo para una Transición Justa,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-04,Transición laboral justa,Coherencia política y fortalecimiento del diálogo social para el logro de una transición justa,Promoción para la inclusión de cláusulas y contenidos relacionados con la ecología y con el empleo verde en la negociación colectiva,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-05,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Coordinación tripartita de políticas de educación y empleo hacia una transición justa,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-06,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Fomentar la inclusión de la transición justa en las políticas de formación profesional ,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TJ-07,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Impulsar la inclusión de nuevas formas de trabajo sustentables en la relación con las empresas ,Adaptación y Mitigación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TJ-08,Transición laboral justa,Desarrollo de competencias laborales y reconversión laboral para los nuevos empleos,Impulsar la formación para el empleo en los sectores productivos de la economía verde y circular ,Adaptación y Mitigación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-09,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Fortalecimiento de los mecanismos de protección social ,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-10,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Promoción de la Salud y seguridad en los empleos verdes,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-11,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Fortalecer la coordinación inter-agencial en los sistemas de salud y seguridad,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-12,Transición laboral justa,Salud y seguridad en el trabajo y protección social,Promover procesos de formalización laboral en el ámbito de los nuevos empleos verdes surgidos de los procesos de mitigación y adaptación ,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-13,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,"Identificar la distribución territorial de los puestos de trabajos que van a ser demandados por las industrias emergentes, así como los perfiles profesionales requeridos",Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-14,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,Impulsar mecanismos de asistencia y apoyo para los trabajadores y sus familias que decidan trasladarse en respuesta a las oportunidades emergentes,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TJ-15,Transición laboral justa,Igualdad de oportunidades para el acceso a los nuevos puestos laborales que puedan generarse en la transición y respeto de los derechos laborales,Garantizar que los trabajadores que se desplazan tengan acceso a condiciones laborales adecuadas y a servicios sociales para ellos y sus familias,Adaptación,"Ministerio de Trabajo, Empleo y Seguridad Social",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TP-01,Transición productiva,Desarrollo de cadenas de valor nacional,Fortalecer la cadena de valor de la industria del reciclado,Adaptación y Mitigación,Secretaría de Industria y Desarrollo Productivo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TP-02,Transición productiva,Desarrollo de cadenas de valor nacional,Desarrollar la cadena de valor de los sistemas constructivos industrializados,Mitigación,Secretaría de Industria y Desarrollo Productivo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TP-03,Transición productiva,Desarrollo de cadenas de valor nacional,Impulsar la transición a la Industria 4.0,Mitigación,Secretaría de Industria y Desarrollo Productivo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TP-04,Transición productiva,Diseño sostenible e innovación de procesos,"Mejorar la gestión hídrica, prioritariamente dentro de las operaciones y proyectos mineros y, complementariamente, financiar ahorros de agua en otros sectores productivos, a partir de fondos del sector minero",Adaptación,Secretaría de Minería,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Adaptación,TP-05,Transición productiva,Diseño sostenible e innovación de procesos,Mejorar la eficiencia hídrica en industrias,Adaptación,Secretaría de Industria y Desarrollo Productivo,2,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,
Mitigación,TP-06,Transición productiva,Diseño sostenible e innovación de procesos,Diseñar y promover iniciativas para la reducción de emisiones de GEI a lo largo de la cadena de valor de las actividades turísticas,Mitigación,"Ministerio de Turismo y Deportes
Ministerio de Ambiente y Desarrollo Sostenible",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TP-07,Transición productiva,Diseño sostenible e innovación de procesos,Promover la implementación de los programas de calidad y sostenibilidad que aborden temáticas vinculadas al cambio climático,Adaptación y Mitigación,Ministerio de Turismo y Deportes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TP-08,Transición productiva,Diseño sostenible e innovación de procesos,Incrementar la eficiencia energética e incorporar energías renovables en proyectos y operaciones mineras,Mitigación,Secretaría de Minería,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TP-09,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,"Promover la integración de la adaptación y mitigación al cambio climático en planes, programas y planificación turística provincial",Adaptación y Mitigación,"Ministerio de Turismo y Deportes
Ministerio de Ambiente y Desarrollo Sostenible",3,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,
Adaptación,TP-10,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Incorporar la variable climatica en la formulacion y evaluacion de los nuevos proyectos turisticos privados,Adaptación,Ministerio de Turismo y Deportes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
Adaptación,TP-11,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Promover la diversificación de la oferta turística de los destinos frente a los distintos riesgos climáticos que afectan su desarrollo,Adaptación,Ministerio de Turismo y Deportes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
Adaptación,TP-12,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Incorporar la variable climática en los Planes de Cierre de Minas y Evaluación de Impacto Ambiental de proyectos mineros,Adaptación,Secretaría de Minería,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Adaptación,TP-13,Transición productiva,Resiliencia productiva,Fortalecer las capacidades técnicas de las industrias y comercios para aumentar su resiliencia frente al cambio climático ,Adaptación,Secretaría de Industria y Desarrollo Productivo,1,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Adaptación,TP-14,Transición productiva,Resiliencia productiva,Fortalecer las capacidades técnicas de los organismos turísticos provinciales y municipales en materia de cambio climático y gestión integral del riesgo ,Adaptación,Ministerio de Turismo y Deportes,3,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,
Adaptación,TP-15,Transición productiva,Resiliencia productiva,Sensibilizar y capacitar a prestadores/as y trabajadores/as del sector turístico sobre cambio climático,Adaptación,Ministerio de Turismo y Deportes,4,,X,,,X,,,,,,,x,X,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TP-16,Transición productiva,Resiliencia productiva,Sensibilizar a los y las turistas sobre cambio climático,Adaptación,Ministerio de Turismo y Deportes,4,,X,X,,X,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TP-17,Transición productiva,Resiliencia productiva,Financiar la implementación de infraestructura resiliente en destinos turísticos,Adaptación,Ministerio de Turismo y Deportes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
Adaptación y Mitigación,TP-18,Transición productiva,Economía Circular,Fomentar la recuperación de residuos en industrias y el adecuado tratamiento de los mismos,Adaptación y Mitigación,Secretaría de Industria y Desarrollo Productivo,3,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,
Mitigación,TP-19,Transición productiva,Economía Circular,Consolidar el carácter productivo de los residuos,Mitigación,Secretaría de Industria y Desarrollo Productivo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TS-01,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer la gestión adecuada de residuos correspondientes a envases,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,1,Muy específico,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Adaptación,TS-02,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Mejorar las condiciones laborales de los/as trabajadores/as recuperadores,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible y Ministerio de Desarrollo Social,3,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,
Mitigación,TS-03,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer el manejo de la fracción orgánica,Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TS-04,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Producir energía a partir del biogás generado en rellenos sanitarios ,Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TS-05,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Construir centros para el tratamiento y disposición final de residuos contemplando las proyecciones climáticas en los parámetros de operación y diseño ,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,5,,,,,,,,,,,,,,,,,,,X,X,,,X,x,,,,,,,X,,,,
Adaptación,TS-06,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer las etapas de la Gestión Integral de Residuos a través de normativas locales,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,2,,,,,,,,,,,,,,,,,,,,X,,,,x,,,,,,,,,,,
Adaptación y Mitigación,TS-07,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Erradicar Basurales a Cielo Abierto,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,5,,,,,,,,,,,,,,,,,,,X,X,,,X,x,,,,,,,X,,,,
Adaptación y Mitigación,TS-08,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Mejorar las condiciones de habitabilidad de las familias productoras de alimentos para promover el arraigo,Adaptación y Mitigación,Ministerio de Desarrollo Territorial y Hábitat,2,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,
Adaptación,TS-09,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Promover proyectos de infraestructura verde y azul en contexto urbano,Adaptación,Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas,5,,,,,,,,,,,,,,,,,,,,X,X,,,x,,X,,,X,,,,,,
Adaptación,TS-10,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Elaborar obras de mitigación de riesgos hídricos y deslizamiento de suelos que contemplen los escenarios futuros de cambio climático,Adaptación,Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas,5,,,,,,,,,,,,,,,,,,,,X,,,,x,,X,,X,X,,,,,,
Adaptación,TS-11,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Regularizar redes de distribución de energía eléctrica,Adaptación,Ministerio de Desarrollo Territorial y Hábitat,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Adaptación,TS-12,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Incorporar la perspectiva climática en los parámetros de diseño de obras futuras,Adaptación,Ministerio de Obras Públicas,12,,,,,,,,,,,,,,x,,,x,x,x,x,x,,x,x,x,x,,,x,x,,,,,
Adaptación,TS-13,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Promover la adecuación de infraestructura crítica existente para aumentar su resiliencia frente al cambio climático,Adaptación,Ministerio de Obras Públicas,12,,,,,,,,,,,,,,,,,x,x,x,x,,,x,x,x,x,x,x,x,x,,,,,
Adaptación,TS-14,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Fortalecer la infraestructura vial para mejorar la conectividad y transitabilidad de personas y cargas,Adaptación,Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,
Adaptación,TS-15,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Ampliar la cobertura de los establecimientos de salud,Adaptación,Ministerio de Obras Públicas,4,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,x,,,
Adaptación,TS-16,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Fortalecer las capacidades de gobiernos locales para el ordenamiento ambiental territorial con enfoque de gestión integral de riesgos y adaptación al cambio climático,Adaptación,Ministerio de Desarrollo Territorial y Hábitat,10,,,x,,,,,,,,,,,x,,,,x,x,x,,,x,x,,x,x,,,,x,,,,
Adaptación,TS-17,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,"Fortalecer la cartografía existente, elaborar mapas de riesgo y promover el empleo de estas herramientas de gestión de información hidrológica georreferenciada para el diseño de proyectos",Adaptación,Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas,3,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TS-18,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,"Diseñar y ejecutar proyectos para retener, distribuir y aprovechar el recurso hídrico para el desarrollo de actividades económicas y productivas considerando los escenarios climáticos futuros",Adaptación y Mitigación,Ministerio de Obras Públicas,6,,,,,,,,,,,,,,,,,x,x,x,,,,x,,,x,x,,,,,,,,
Mitigación,TS-19,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Adecuar y construir centros locales para la gestión integral de residuos sólidos urbanos,Mitigación,Ministerio de Obras Públicas,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,TS-20,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Fortalecer la Red de Monitoreo de los Recursos Hídricos,Adaptación,Ministerio de Obras Públicas,3,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,
Adaptación,TS-21,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Apoyar la elaboración y el financiamiento de Planes Directores para el Manejo Integral del Recurso Hídrico,Adaptación,Ministerio de Obras Públicas,3,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,,,,,,
Adaptación,TS-22,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Promover el desarrollo de modelos hidrometeorológicos que contemplen los escenarios futuros de cambio climático,Adaptación,Ministerio de Obras Públicas,10,,,,,,,,,,,,,,x,,,,x,x,x,,,x,x,,x,,x,x,x,,,,,
Adaptación,TS-23,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Ampliar y mejorar la cobertura de agua segura y saneamiento en población urbana y rural agrupada,Adaptación,Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas,3,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,
Adaptación,TS-24,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Ampliar y mejorar la cobertura de agua segura de la población rural dispersa,Adaptación,Ministerio de Obras Públicas,2,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,
Adaptación,TS-25,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Incrementar el acceso a servicios básicos de las familias en barrios populares RENABAP,Adaptación,Ministerio de Desarrollo Social,7,,,,,,,,,,,,,,,,,,x,,x,x,,,x,x,,,,x,,,x,,,
Mitigación,TS-26,Territorios sostenibles y resilientes,Viviendas sostenibles,Promover el uso de materiales y sistemas constructivos con baja huella de Carbono,Mitigación,Ministerio de Desarrollo Territorial y Hábitat,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TS-27,Territorios sostenibles y resilientes,Viviendas sostenibles,Incrementar la Eficiencia Energética e incorporar Energías Renovables en los proyectos públicos de viviendas,Adaptación y Mitigación,Ministerio de Desarrollo Territorial y Hábitat,2,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,
Mitigación,TS-28,Territorios sostenibles y resilientes,Viviendas sostenibles,Promover el uso de madera en edificaciones,Mitigación,Ministerio de Desarrollo Territorial y Hábitat y Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,