Tipo de Norma,Título de la norma,Número,Fecha,Link,Truelink,Ubicación en la estructura
Ley Nacional,Ley N° 27.520 de presupuestos mínimos de adaptación y mitigación al cambio climático global,Ley N° 27.520,2019,Link,https://www.argentina.gob.ar/normativa/nacional/ley-27520-333515,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,"Primer Plan Nacional de Adaptación y Mitigación al Cambio Climático y siete Planes Sectoriales (Energía, Agro, Transporte, Infraestructuras y Territorio, Salud, Bosques e Industria)",Resolución N° 447/2019 de la entonces Secretaría de Gobierno de Ambiente y Desarrollo Sustentable ,2019,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-447-2019-332234,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Decreto Nacional,Decreto N° 1030/2020 - Reglamentación Ley N° 27.520 de presupuestos mínimos de adaptación y mitigación al cambio climático,Decreto N° 1030/2020,2020,Link,https://www.argentina.gob.ar/normativa/nacional/decreto-1030-2020-345380,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Ley Nacional,"Acuerdo Regional sobre el Acceso a la Información, la Participación Pública y el Acceso a la Justicia en Asuntos Ambientales en América Latina y el Caribe.",Ley 27.566,2020,Link,https://www.argentina.gob.ar/normativa/nacional/ley-27566-343259,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Registro Nacional de Proyectos de Mitigación del Cambio Climático (RENAMI),Resolución N° 363/2021 del entonces Ministerio de Ambiente y Desarrollo Sustentable,2021,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-363-2021-358905,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Plan Regional de Adaptación al Cambio Climático del Delta del Río Paraná (PRACC-DP) y el Grupo de Trabajo Conjunto,"Resolución Conjunta N° 1/2021 de la entonces Secretaría de Política Ambiental en Recursos Naturales y la entonces Secretaría de Cambio Climático, Desarrollo Sostenible e Innovación ",2021,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-1-2021-353921,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Decisión Administrativa,Reglamento Interno del Gabinete Nacional de Cambio Climático (GNCC),Decisión Administrativa N° 1013/2022,2022,Link,https://www.argentina.gob.ar/normativa/nacional/decisi%C3%B3n_administrativa-1013-2022-372809,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Reglamento Interno del Consejo Asesor Externo,"Resolución N° 1/2022 de la entonces Secretaría de Cambio Climático, Desarrollo Sostenible e Innovación ",2022,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-1-2022-362407,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Segundo Plan Nacional de Adaptación y Mitigación al Cambio Climático,Resolución N° 146/2023 del entonces Ministerio de Ambiente y Desarrollo Sustentable,2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-146-2023-382506,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Estrategia de desarrollo resiliente con bajas emisiones a Largo Plazo (ELP) y Programa Nacional de Escenarios a Largo Plazo,Resolución N° 218/2023 del entonces Ministerio de Ambiente y Desarrollo Sustentable,2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-218-2023-385470,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Grupos de Trabajo del Gabinete Nacional de Cambio Climático,"Resolución N° 18/2023 de la entonces Secretaría de Cambio Climático, Desarrollo Sostenible e Innovación ",2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-18-2023-388603,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Estrategia Nacional de Salud y Cambio Climático,Resolución Conjunta N° 2/2023 del Ministerio de Salud y el entonces Ministerio de Ambiente y Desarrollo Sostenible,2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-2-2023-385816,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Reglamento Interno del Consejo Asesor Externo - Primera actualización,"Resolución N° 9/2023 de la entonces Secretaría de Cambio Climático, Desarrollo Sostenible e Innovación ",2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-9-2023-382687,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución COFEMA,Ratificación elementos técnicos Planes de Respuesta aprobados por la Mesa de Articulación Provincial del Gabinete Nacional de Cambio Climático,Resolución N° 539/2023 del Consejo Federal de Medio Ambiente (COFEMA),2023,Link,https://ciam.ambiente.gob.ar/images/uploaded/recursos/573/Resolucion%20N%C2%BA%20539-%20Ratifica%20elementos%20tecnicos%20minimos-%20Plan%20Respuesta%20al%20CC.pdf,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 
Resolución Nacional,Estrategia Nacional para el Uso de los Mercados de Carbono (ENUMeC),Resolución N° 385/2023 del entonces Ministerio de Ambiente y Desarrollo Sostenible,2023,Link,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-385-2023-393127,Normativas //  ¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - 